AssetID,AssignedUnit,RecievedDate
1,I,2018-01-01
2,J,2018-01-01
3,H,2018-01-01
4,B,2018-01-01
5,J,2018-01-01
6,C,2018-01-01
7,D,2018-01-01
8,I,2018-01-01
9,J,2018-01-01
10,I,2018-01-01
11,A,2018-01-01
12,E,2018-01-01
13,D,2018-01-01
14,J,2018-01-01
15,E,2018-01-01
16,D,2018-01-01
17,H,2018-01-01
18,J,2018-01-01
19,H,2018-01-01
20,E,2018-01-01
21,J,2018-01-01
22,I,2018-01-01
23,B,2018-01-01
24,A,2018-01-01
25,G,2018-01-01
26,E,2018-01-01
27,A,2018-01-01
28,D,2018-01-01
29,H,2018-01-01
30,J,2018-01-01
31,H,2018-01-01
32,J,2018-01-01
33,J,2018-01-01
34,G,2018-01-01
35,J,2018-01-01
36,C,2018-01-01
37,C,2018-01-01
38,F,2018-01-01
39,F,2018-01-01
40,G,2018-01-01
41,J,2018-01-01
42,B,2018-01-01
43,G,2018-01-01
44,C,2018-01-01
45,B,2018-01-01
46,H,2018-01-01
47,H,2018-01-01
48,I,2018-01-01
49,A,2018-01-01
50,I,2018-01-01
51,J,2018-01-01
52,C,2018-01-01
53,J,2018-01-01
54,A,2018-01-01
55,J,2018-01-01
56,D,2018-01-01
57,H,2018-01-01
58,A,2018-01-01
59,G,2018-01-01
60,E,2018-01-01
61,J,2018-01-01
62,H,2018-01-01
63,I,2018-01-01
64,D,2018-01-01
65,J,2018-01-01
66,B,2018-01-01
67,F,2018-01-01
68,A,2018-01-01
69,J,2018-01-01
70,J,2018-01-01
71,C,2018-01-01
72,B,2018-01-01
73,I,2018-01-01
74,J,2018-01-01
75,D,2018-01-01
76,J,2018-01-01
77,J,2018-01-01
78,H,2018-01-01
79,D,2018-01-01
80,I,2018-01-01
81,E,2018-01-01
82,F,2018-01-01
83,C,2018-01-01
84,I,2018-01-01
85,C,2018-01-01
86,B,2018-01-01
87,E,2018-01-01
88,C,2018-01-01
89,C,2018-01-01
90,D,2018-01-01
91,F,2018-01-01
92,G,2018-01-01
93,J,2018-01-01
94,B,2018-01-01
95,C,2018-01-01
96,G,2018-01-01
97,J,2018-01-01
98,J,2018-01-01
99,A,2018-01-01
100,C,2018-01-01
97,A,2018-01-15
55,B,2018-01-15
14,D,2018-01-15
2,F,2018-01-15
15,J,2018-01-15
93,G,2018-01-28
70,I,2018-01-28
21,B,2018-01-28
9,E,2018-01-28
9,D,2018-02-03
60,H,2018-02-03
20,G,2018-02-03
12,I,2018-02-03
76,F,2018-02-09
74,H,2018-02-09
41,E,2018-02-09
87,J,2018-02-09
15,F,2018-02-22
53,E,2018-02-22
41,J,2018-02-22
87,F,2018-02-26
35,E,2018-02-26
18,I,2018-02-26
41,E,2018-03-13
5,A,2018-03-13
70,E,2018-03-19
63,J,2018-03-19
22,B,2018-03-19
10,G,2018-03-19
84,E,2018-03-20
97,J,2018-03-20
63,G,2018-03-20
97,C,2018-03-23
70,A,2018-03-31
35,I,2018-03-31
26,J,2018-03-31
27,H,2018-03-31
84,I,2018-04-07
